image	va	unit	function	change	strict_before	strict_after	verdict
GAME.EXE	0x800146b8	game.game	game_main_loop	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800154b0	game.player_death	player_death_restart	explicit-state+named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80015714	game.player_death	player_recalculate_combat_stats	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800167e4	game.player_death	player_select_magic	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80016848	game.player_core	player_set_equipment_slot	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80016a30	game.player_core	player_equip_weapon	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80016e24	game.player_core	game_initialize_session	named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80016ee8	game.player_core	player_sync_position_to_map	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800171fc	game.player_core	player_move_horizontal	layout-only	96.56896	96.56896	retained; complete allocated object unchanged
GAME.EXE	0x80017a80	game.player_core	player_update_vertical_motion	named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80018054	game.player_use_item	player_use_item	explicit-state+named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80018880	game.player_update	player_update	explicit-state	99.96948	99.96948	retained; complete allocated object unchanged
GAME.EXE	0x8001a5ac	game.collision	collision_query_world	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8001b414	game.resources	map_variant_assets_load	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8001b558	game.resources	map_resources_load	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8001f218	game.render_scene	render_entities	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002317c	game.menu_panels	menu_magic_panel	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80023e9c	game.menu_select	menu_spell_select	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002b150	game.save_system	menu_play_input_sound	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002b73c	game.save_system	save_file_write_slot	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002beb0	game.save_system	save_file_read_slot	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002c304	game.save_system	save_file_initialize_buffers	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002c794	game.save_system	screen_show_image_until_input	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002c9d4	game.save_system	talk_show_dialogue_page	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002d120	game.actor	actor_apply_damage	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002dcfc	game.actor	actor_play_sound_at_phase	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002e0f0	game.actor	actor_try_select_profiled_action	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002e2e8	game.actor_behavior	actor_select_next_action	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002e6a8	game.actor_behavior	actor_update_awareness	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002e954	game.actor_behavior	actor_move_xz_with_collision	indirect-named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002ed00	game.actor_behavior	actor_move_along_heading	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002edd4	game.actor_behavior	actor_spawn_action_effect	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002f31c	game.actor_behavior	actor_apply_horizontal_movement	indirect-named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002f468	game.actor_behavior	actor_update_effect_action	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002f558	game.actor_behavior	actor_apply_random_movement	indirect-named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002f8cc	game.actor_behavior	actor_update_boss_death_sequence	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8002fa88	game.actor_behavior	actor_update_current_action	layout+indirect-named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80030a98	game.map_object_pool	map_apply_copy_region	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80030eb8	game.map_object_pool	map_object_probe_forward	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80031008	game.map_object_pool	map_object_pool_load	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80031834	game.map_object	map_object_spawn_effect	layout-only	97.128716	97.128716	retained; complete allocated object unchanged
GAME.EXE	0x800319c8	game.map_object	map_object_spawn_actor_debris	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80031b54	game.map_object	map_object_pool_trigger_link	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80031cc8	game.map_object	map_object_pool_update	explicit-state+named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8003379c	game.map_event	map_event_set_current	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800338b8	game.map_event	map_event_pool_load	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80033b8c	game.map_event	map_event_pool_find_target_in_cone	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80033cd0	game.map_event	map_event_pool_find_overlap	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80033f64	game.map_scripts	map_ambient_script_floor1	explicit-state+named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800341ec	game.map_scripts	map_ambient_script_floor2	explicit-state+named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8003425c	game.map_scripts	map_ambient_script_floor3	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800342ec	game.map_scripts	map_ambient_script_floor5	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800343e0	game.map_scripts	map_action_script_floor1	explicit-state+named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80034438	game.map_scripts	map_reveal_fade	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800345bc	game.map_scripts	map_action_script_floor2	explicit-state+indirect-named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80034610	game.map_scripts	map_action_script_floor3	explicit-state+indirect-named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800346a8	game.map_scripts	map_floor5_transition_cutscene	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80034a34	game.map_scripts	map_action_script_floor5	explicit-state+indirect-named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80034a80	game.map_scripts	map_event_interact	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80034de4	game.map_scripts	map_interaction_dispatch	explicit-state+named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800356e8	game.map_events	map_event_timers_reset	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80035708	game.map_events	map_event_update_wander	explicit-state+named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800358e0	game.map_events	map_event_update_animation_loop	explicit-state+named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x8003596c	game.map_events	map_event_pool_update	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80035e44	game.map_load	map_restore_floor_state	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x800364e0	game.map_load	map_refresh_dialogue_stages	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80036554	game.map_load	map_load_floor	layout-only	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80036618	game.player_warp	player_warp_shimmer	named-constants	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80036af0	game.player_warp	player_warp_trigger_update	explicit-state	100.0	100.0	retained; complete allocated object unchanged
GAME.EXE	0x80036d3c	game.player_warp	actor_transform_definition5_to6	explicit-state	100.0	100.0	retained; complete allocated object unchanged
