# MANUALLY MANAGED - admitted WIP retail data census, including unclassified gaps.
# Seed/audit tooling writes build/retail-seed only; review and edit this file by hand.
# Each address is qualified by image because GAME.EXE and OPEN.EXE are separate overlays.
# Defined rows plus unclassified gaps account for every byte of every loaded payload.
image	va	file_offset	size	kind	confidence	name	datatype	provenance	note
PSX.EXE	0x80010000	0x800	0x14	data	reviewed	overlay_path_GAME	const char[20]	manual:psx_semantic_bootstrap_paths	literal cdrom:GAME.EXE;1 followed by three padding zeroes
PSX.EXE	0x80010014	0x814	0x14	data	reviewed	overlay_path_OPEN	const char[20]	manual:psx_semantic_bootstrap_paths	literal cdrom:OPEN.EXE;1 followed by three padding zeroes
PSX.EXE	0x800101b4	0x9b4	0x10	unclassified	coverage-gap			payload-complement	may contain missed code, tables, constants, padding, or writable data
PSX.EXE	0x80010224	0xa24	0x8	pointer-table	reviewed	overlay_path_table	const char *[2]	manual:psx_semantic_bootstrap_paths	two pointers in load order: OPEN then GAME
PSX.EXE	0x8001022c	0xa2c	0x4	data	exact-linked-symbol	_stacksize		LIBSN/SNDEF	XDEF value 0x00008000
PSX.EXE	0x80010230	0xa30	0x4	bss	exact-linked-section	SNMAIN_sbss		LIBSN/SNMAIN	startup zeroes exact four-byte sbss section
PSX.EXE	0x80010234	0xa34	0x4	defined	ghidra-defined		undefined4	Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP datum
PSX.EXE	0x80010238	0xa38	0x5c8	unclassified	coverage-gap			payload-complement	may contain missed code, tables, constants, padding, or writable data
GAME.EXE	0x80012000	0x800	0x2c	pointer-table	direct-references	player_combat_stat_effect_jump_table	code pointer[11]	game_semantic_player_stats.tsv	eleven compiler-emitted case targets for equipped item IDs 0x2a through 0x34
GAME.EXE	0x8001202c	0x82c	0x4	unclassified	coverage-gap			payload-complement	may contain missed code, tables, constants, padding, or writable data
GAME.EXE	0x80012030	0x830	0x18	pointer-table	direct-references	player_equipment_slot_jump_table	code pointer[6]	game_semantic_player_stats.tsv	six compiler-emitted case targets for the armor/accessory slot selector
GAME.EXE	0x80012048	0x848	0x84	pointer-table	direct-references	player_item_use_jump_table	code pointer[33]	game_semantic_player_interactions.tsv	thirty-three compiler-emitted case targets for item IDs 0x2a through 0x4a
GAME.EXE	0x800120cc	0x8cc	0x4	unclassified	coverage-gap			payload-complement	may contain missed code, tables, constants, padding, or writable data
GAME.EXE	0x800120d0	0x8d0	0xa8	pointer-table	direct-references	player_item_object_type_jump_table	code pointer[42]	game_semantic_player_interactions.tsv	forty-two compiler-emitted case targets for map-object type values 0x51 through 0x7a inside player item use
GAME.EXE	0x80012178	0x978	0xb	string	byte-pattern		ascii	investigation:string-census	escaped text: COM\\MIX.TIM
GAME.EXE	0x80012183	0x983	0x1	unclassified	coverage-gap			payload-complement	may contain missed code, tables, constants, padding, or writable data
GAME.EXE	0x80012184	0x984	0xb	string	byte-pattern		ascii	investigation:string-census	escaped text: COM\\COM.DAT
GAME.EXE	0x8001218f	0x98f	0x1	unclassified	coverage-gap			payload-complement	may contain missed code, tables, constants, padding, or writable data
GAME.EXE	0x80012190	0x990	0x9	string	byte-pattern		ascii	game_semantic_map_resources.tsv	escaped text: CHR0.MIM; literal inside the resources TU RODATA claim; complete nine-byte copy includes the trailing NUL before patching its variant digit
GAME.EXE	0x80012199	0x999	0x3	unclassified	coverage-gap			payload-complement	may contain missed code, tables, constants, padding, or writable data
GAME.EXE	0x8001219c	0x99c	0x8	string	byte-pattern		ascii	investigation:string-census	escaped text: MIXA.DAT
GAME.EXE	0x800121a4	0x9a4	0x4	unclassified	coverage-gap			payload-complement	may contain missed code, tables, constants, padding, or writable data
GAME.EXE	0x800121a8	0x9a8	0x8	string	byte-pattern		ascii	investigation:string-census	escaped text: MIXB.DAT
GAME.EXE	0x800121b0	0x9b0	0x4	unclassified	coverage-gap			payload-complement	may contain missed code, tables, constants, padding, or writable data
GAME.EXE	0x800121b4	0x9b4	0x4	pointer	ghidra-defined		pointer	Ghidra-12.0.4/ghidra_psx_ldr-2026.07.08	machine-assisted WIP datum
