# Reviewed semantic identities for the GAME entry/lifecycle, frame-pacer, and fixed-point helper families.
# Every function is absent from functions_vendored.tsv and the Release 2.5 FID census. The three compact
# axis constructors are distinct game-owned wrappers: Sony RotMatrixX/Y/Z also remain linked at 0x8004ed78,
# 0x8004ef24, and 0x8004f0d0 with exact Release 2.5 object/FID evidence.
image	va	extent	family	body_and_cfg	call_and_data_evidence	vendor_negative_control	final_name	final_signature	verdict
GAME.EXE	0x8001428c	0x88	lifecycle	start tail target; service initialization; one return	calls InitHeap/CdInit/InitCARD2 and game_main_loop; copies game_exit_code to entry_args+4	absent from vendored/FID inventories	game_entry	void game_entry(s32 entry_arg0, u32 *entry_args)	name supported; loader-facing parameter contract remains candidate
GAME.EXE	0x800146b8	0x2e4	lifecycle	initialization followed by one persistent update/render loop	sole direct caller game_entry; opens RCntCNT3 handler; closes event and calls game_shutdown	absent from vendored/FID inventories	game_main_loop	void game_main_loop(void)	supported
GAME.EXE	0x8001499c	0x38	lifecycle	straight-line four-call shutdown wrapper	memory_card_shutdown_events; audio_shutdown; controller/runtime shutdown callees	absent from vendored/FID inventories	game_shutdown	void game_shutdown(void)	supported
GAME.EXE	0x800149d4	0x20	frame-pacer	leaf increment of one u32 datum	address passed as OpenEvent handler for 0xf2000003; pinned KERNEL.H defines RCntCNT3 as vertical sync	absent from vendored/FID inventories	frame_pacer_vsync_callback	void frame_pacer_vsync_callback(void)	supported
GAME.EXE	0x800149f4	0x70	frame-pacer	critical-section polling loop; wrap-aware unsigned compare	11 incoming references; compares vsync_count to last_vsync+2 and commits the observed count	absent from vendored/FID inventories	frame_pacer_wait	void frame_pacer_wait(void)	supported; waits at least three vertical-sync ticks
GAME.EXE	0x80014a64	0xc8	angle	12-bit wrap-aware step/clamp CFG with signed-short result	six proven callers pass current/target angles and a step	absent from vendored/FID inventories	angle_approach	s16 angle_approach(s16 current, s16 target, s32 step)	supported
GAME.EXE	0x80014b2c	0x50	angle-vector	straight-line rsin/rcos pair; writes two s16 fields	four proven movement/actor callers; output is scaled then added to x/z position fields	absent from vendored/FID inventories	angle_to_forward_xz	void angle_to_forward_xz(s16 angle, KfVecXZs *direction)	supported
GAME.EXE	0x80014b7c	0x70	matrix	writes fixed-point identity/X sine-cosine pattern	six proven callers; rsin and rcos only	game wrapper distinct from linked Sony RotMatrixX	matrix_set_rotation_x	void matrix_set_rotation_x(s16 angle, KfMatrix *matrix)	supported
GAME.EXE	0x80014bec	0x70	matrix	writes fixed-point identity/Y sine-cosine pattern	nine proven callers; rsin and rcos only	game wrapper distinct from linked Sony RotMatrixY	matrix_set_rotation_y	void matrix_set_rotation_y(s16 angle, KfMatrix *matrix)	supported
GAME.EXE	0x80014c5c	0x70	matrix	writes fixed-point identity/Z sine-cosine pattern	sole caller is matrix_set_rotation_yxz; rsin and rcos only	game wrapper distinct from linked Sony RotMatrixZ	matrix_set_rotation_z	void matrix_set_rotation_z(s16 angle, KfMatrix *matrix)	supported
GAME.EXE	0x80014ccc	0x68	matrix	constructs Rz and Rx; MulMatrix; constructs Ry; MulMatrix2	four proven callers; linked operations yield Ry * Rx * Rz	absent from vendored/FID inventories	matrix_set_rotation_yxz	void matrix_set_rotation_yxz(const KfEulerAngles *angles, KfMatrix *matrix)	supported
GAME.EXE	0x80014d34	0xd4	angle-vector	constructs +Z; applies X(-pitch) then Y(yaw)	three proven callers; two ApplyMatrix calls; writes three s16 output fields	absent from vendored/FID inventories	pitch_yaw_to_forward_vector	void pitch_yaw_to_forward_vector(const KfPitchYaw *angles, KfVec3s *direction)	supported
GAME.EXE	0x80014f40	0x2c	vector	leaf adds two signed-short components into long fields at +0/+8	two proven actor/movement callers; 100% exact reconstructed C	absent from vendored/FID inventories	vector3i_add_xz	void vector3i_add_xz(KfVec3i *vector, const KfVecXZs *delta)	supported; exact C body
GAME.EXE	0x80014f6c	0x3c	angle	12-bit modular subtraction and two tolerance comparisons	seven proven and five candidate call sites use angle-like values	absent from vendored/FID inventories	angle_within_tolerance	bool angle_within_tolerance(s32 angle, s32 target, s16 tolerance)	supported
GAME.EXE	0x80014fa8	0x10	angle	leaf test of modular delta <= 0x800	one proven caller; 100% exact reconstructed C	absent from vendored/FID inventories	angle_mod_delta_le_half_turn	bool angle_mod_delta_le_half_turn(s32 angle, s32 reference)	supported; exact C body
GAME.EXE	0x80014fb8	0xb0	angle-vector	quadrant CFG around two catan calls; returns 12-bit angle	23 proven callers pass horizontal coordinate deltas	absent from vendored/FID inventories	vector_xz_to_angle	u16 vector_xz_to_angle(s32 x, s32 z)	supported
GAME.EXE	0x80015128	0x3c	fixed-ratio	leaf signed division with compiler divide traps and +1 result delay slot	two proven callers accumulate twice the result toward a 5000 cap	absent from vendored/FID inventories	fixed6_ratio_step	s32 fixed6_ratio_step(s32 value, s32 span)	supported algorithmic identity; gameplay owner remains unresolved
