# MANUALLY REVIEWED - project field declarations at dafd1048; AST extraction supplies coverage, not semantic verdicts.
declaration	record	field	datatype	verdict	finding	evidence	note
include/kf/audio.h:47	SoundRef	program	u8	numeric		include/kf/audio.h:47;src/game/audio.c:200;src/game/audio.c:238;src/game/audio.c:259;src/game/save_system.c:111;src/game/save_system.c:114;src/game/save_system.c:117;src/game/save_system.c:121;src/game/save_system.c:123;src/open/audio_spatial.c:54;src/open/audio_spatial.c:92;src/open/sound_ref.c:10	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:48	SoundRef	tone	u8	numeric		include/kf/audio.h:48;src/game/audio.c:179;src/game/audio.c:201;src/game/audio.c:260;src/open/audio_spatial.c:55;src/open/sound_ref.c:11	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:49	SoundRef	note	u8	numeric		include/kf/audio.h:49;src/game/audio.c:202;src/game/audio.c:238;src/game/audio.c:261;src/game/save_system.c:112;src/game/save_system.c:115;src/game/save_system.c:118;src/game/save_system.c:121;src/game/save_system.c:123;src/open/audio_spatial.c:56;src/open/audio_spatial.c:92;src/open/sound_ref.c:12	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:53	KfAudioVoiceSlots	voice_ids	s16[10]	numeric		include/kf/audio.h:53;src/game/audio.c:42;src/game/audio.c:280;src/game/audio.c:282;src/game/audio.c:292;src/open/audio.c:45;src/open/audio_play_voice.c:17;src/open/audio_play_voice.c:19;src/open/audio_play_voice.c:29	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:54	KfAudioVoiceSlots	vab_ids	s16[10]	numeric		include/kf/audio.h:54;src/game/audio.c:283;src/game/audio.c:288;src/open/audio_play_voice.c:20;src/open/audio_play_voice.c:25	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:55	KfAudioVoiceSlots	programs	s16[10]	numeric		include/kf/audio.h:55;src/game/audio.c:284;src/game/audio.c:289;src/open/audio_play_voice.c:21;src/open/audio_play_voice.c:26	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:56	KfAudioVoiceSlots	tones	s16[10]	numeric		include/kf/audio.h:56;src/game/audio.c:285;src/game/audio.c:290;src/open/audio_play_voice.c:22;src/open/audio_play_voice.c:27	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:57	KfAudioVoiceSlots	notes	s16[10]	numeric		include/kf/audio.h:57;src/game/audio.c:286;src/game/audio.c:291;src/open/audio_play_voice.c:23;src/open/audio_play_voice.c:28	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:61	KfAudioState	vab_header	u8 *	pointer		include/kf/audio.h:61;src/game/audio.c:55;src/game/audio.c:135;src/open/audio.c:63;src/open/audio.c:140	Address or pointer table; not a finite selector.
include/kf/audio.h:62	KfAudioState	active_vab_id	s16	numeric		include/kf/audio.h:62;src/game/audio.c:50;src/game/audio.c:51;src/game/audio.c:56;src/game/audio.c:57;src/game/audio.c:75;src/game/audio.c:131;src/game/audio.c:199;src/game/audio.c:258;src/open/audio.c:47;src/open/audio.c:58;src/open/audio.c:59;src/open/audio.c:64;src/open/audio.c:65;src/open/audio.c:66;src/open/audio.c:87;src/open/audio.c:134;src/open/audio_spatial.c:53;src/open/sound_ref.c:9	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:63	KfAudioState	unknown_06	u8[2]	unresolved		include/kf/audio.h:63	padding or unresolved
include/kf/audio.h:64	KfAudioState	sequence_buffer	u8 *	pointer		include/kf/audio.h:64;src/game/audio.c:37;src/game/audio.c:73;src/game/audio.c:75;src/open/audio.c:40;src/open/audio.c:83;src/open/audio.c:87	Address or pointer table; not a finite selector.
include/kf/audio.h:65	KfAudioState	sequence_id	s16	numeric		include/kf/audio.h:65;src/game/audio.c:74;src/game/audio.c:76;src/game/audio.c:77;src/game/audio.c:92;src/game/audio.c:94;src/game/audio.c:95;src/game/audio.c:113;src/game/audio.c:114;src/game/audio.c:115;src/game/audio.c:124;src/open/audio.c:86;src/open/audio.c:88;src/open/audio.c:90;src/open/audio.c:116;src/open/audio.c:117;src/open/audio.c:118;src/open/audio.c:127	SDK handle or bank-relative program/tone/note number; numeric API domain.
include/kf/audio.h:66	KfAudioState	unknown_0e	u8[2]	unresolved		include/kf/audio.h:66	padding or unresolved
include/kf/audio.h:67	KfAudioState	sequence_active	KfAudioSequenceState	typed_enum		include/kf/audio.h:67;src/game/audio.c:38;src/game/audio.c:78;src/game/audio.c:88;src/game/audio.c:96;src/game/audio.c:105;src/game/audio.c:116;src/open/audio.c:41;src/open/audio.c:48;src/open/audio.c:98;src/open/audio.c:106;src/open/audio.c:119	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/audio.h:68	KfAudioState	listener_position	VECTOR	aggregate		include/kf/audio.h:68;src/game/audio.c:146;src/game/audio.c:148;src/game/audio.c:150;src/game/audio.c:171;src/game/audio.c:172;src/game/audio.c:247;src/open/audio_spatial.c:19;src/open/audio_spatial.c:20;src/open/audio_spatial.c:21;src/open/audio_spatial.c:38;src/open/audio_spatial.c:39;src/open/audio_spatial.c:101	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/audio.h:69	KfAudioState	listener_rotation	SVECTOR	aggregate		include/kf/audio.h:69;src/game/audio.c:173;src/game/audio.c:250;src/open/audio_spatial.c:40;src/open/audio_spatial.c:104	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/audio.h:70	KfAudioState	voice_slots	KfAudioVoiceSlots	aggregate		include/kf/audio.h:70;src/game/audio.c:42;src/game/audio.c:280;src/game/audio.c:282;src/game/audio.c:283;src/game/audio.c:284;src/game/audio.c:285;src/game/audio.c:286;src/game/audio.c:288;src/game/audio.c:289;src/game/audio.c:290;src/game/audio.c:291;src/game/audio.c:292;src/open/audio.c:45;src/open/audio_play_voice.c:17;src/open/audio_play_voice.c:19;src/open/audio_play_voice.c:20;src/open/audio_play_voice.c:21;src/open/audio_play_voice.c:22;src/open/audio_play_voice.c:23;src/open/audio_play_voice.c:25;src/open/audio_play_voice.c:26;src/open/audio_play_voice.c:27;src/open/audio_play_voice.c:28;src/open/audio_play_voice.c:29	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/enum.h:44	KfEnumStorage	value_	Storage	enum_implementation		include/kf/enum.h:44	Private raw backing for a generic enum-only storage wrapper; not a game field accepting integer assignment.
include/kf/game_actor.h:219	KfActorDefinition	pursuit_distance_scale	u8	numeric		include/kf/game_actor.h:219;src/game/actor_behavior.c:139	pursuit threshold shifted by 8 with action-selection hysteresis
include/kf/game_actor.h:220	KfActorDefinition	model_and_texture	u8	packed_resource		include/kf/game_actor.h:220;src/game/entity_model_render.c:48	Resource index and texture/culling bits share a byte; the decoded index is asset-relative. Preserve packed input and separate proved semantic selectors.
include/kf/game_actor.h:221	KfActorDefinition	melee_attack_chance	u8	numeric		include/kf/game_actor.h:221;src/game/actor_behavior.c:186	chance for action 4, whose animation calls actor_try_attack_player
include/kf/game_actor.h:222	KfActorDefinition	status_effect	u8	flag_domain_candidate	F9	include/kf/game_actor.h:222;src/game/actor.c:503;docs/patterns/enum-field-review.md#f9	Bit set passed to player_apply_damage; share a typed status-flag domain with KfPlayerState.status_effect_flags rather than a mutually-exclusive enum.
include/kf/game_actor.h:223	KfActorDefinition	status_effect_chance	u8	numeric		include/kf/game_actor.h:223;src/game/actor.c:501;src/game/actor.c:502	per-hit chance out of 256 compared with rand() >> 7; zero disables
include/kf/game_actor.h:224	KfActorDefinition	action_parameters	u8[8]	mixed_domain_candidate	F2	include/kf/game_actor.h:224;src/game/actor_behavior.c:162;src/game/actor_behavior.c:163;src/game/actor_behavior.c:170;src/game/actor_behavior.c:171;src/game/actor_behavior.c:178;src/game/actor_behavior.c:179;src/game/actor_behavior.c:696;src/game/actor_behavior.c:963;src/game/actor_behavior.c:964;src/game/actor_behavior.c:967;docs/patterns/enum-field-review.md#f2	Bytes 0..2 encode effect kind plus paired flag; 3..5 and 7 are probabilities; byte 6 is KfMapObjectId with disabled/unset sentinels. Model typed members instead of one u8 array.
include/kf/game_actor.h:225	KfActorDefinition	move_speed	u8	numeric		include/kf/game_actor.h:225;src/game/actor_behavior.c:477;src/game/actor_behavior.c:1153	scale applied to the forward vector by actor_move_along_heading
include/kf/game_actor.h:226	KfActorDefinition	action_animations	KfAnimationClip[16]	typed_enum		include/kf/game_actor.h:226;src/game/actor.c:284;src/game/actor.c:389;src/game/actor.c:393;src/game/actor_behavior.c:141;src/game/actor_behavior.c:145;src/game/actor_behavior.c:150;src/game/actor_behavior.c:158;src/game/actor_behavior.c:166;src/game/actor_behavior.c:174;src/game/actor_behavior.c:182;src/game/actor_behavior.c:190;src/game/actor_behavior.c:200;src/game/actor_behavior.c:208;src/game/actor_behavior.c:217;src/game/actor_behavior.c:232;src/game/actor_behavior.c:236;src/game/actor_behavior.c:289;src/game/actor_behavior.c:691;src/game/actor_behavior.c:869;src/game/actor_behavior.c:877;src/game/actor_behavior.c:878;src/game/actor_behavior.c:892;src/game/actor_behavior.c:893;src/game/actor_behavior.c:927;src/game/actor_behavior.c:947;src/game/actor_behavior.c:988;src/game/actor_behavior.c:989;src/game/actor_behavior.c:1013;src/game/actor_behavior.c:1055;src/game/actor_behavior.c:1120;src/game/actor_behavior.c:1144;src/game/actor_behavior.c:1168;src/game/actor_behavior.c:1204;src/game/actor_behavior.c:1205;src/game/actor_behavior.c:1224;src/game/actor_behavior.c:1230;src/game/actor_behavior.c:1247;src/game/map_load.c:176;src/game/map_load.c:177;src/game/map_load.c:178;src/game/map_load.c:179;src/game/map_load.c:180;src/game/map_scripts.c:202;src/game/map_scripts.c:203;src/game/map_scripts.c:204;src/game/map_scripts.c:205;src/game/map_scripts.c:206	Same enum type is already enforced by the strict C++ view; this verdict does not certify completeness of its enumerator list.
include/kf/game_actor.h:227	KfActorDefinition	turn_rate	u8	numeric		include/kf/game_actor.h:227;src/game/actor_behavior.c:471;src/game/actor_behavior.c:474;src/game/actor_behavior.c:1223	angle_approach step for actor_move_along_heading; halved-and-a-half while colliding
include/kf/game_actor.h:228	KfActorDefinition	sounds	SoundRef[3]	aggregate		include/kf/game_actor.h:228;src/game/actor_behavior.c:931;src/game/actor_behavior.c:951;src/game/actor_behavior.c:1017;src/game/actor_behavior.c:1074;src/game/actor_behavior.c:1124;src/game/actor_behavior.c:1251	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_actor.h:229	KfActorDefinition	attachment_offsets	struct KfVec3s[2]	aggregate		include/kf/game_actor.h:229;src/game/actor_behavior.c:526;src/game/actor_behavior.c:527;src/game/actor_behavior.c:528	Nested record/union or record array; project-owned child fields are separately listed. SDK children retain their SDK declarations.
include/kf/game_actor.h:230	KfActorDefinition	special_attack_chance	s16	numeric		include/kf/game_actor.h:230;src/game/actor_behavior.c:147;src/game/actor_behavior.c:154	signed chance for actor actions 16 and 17
include/kf/game_actor.h:231	KfActorDefinition	special_attack_range	s16	numeric		include/kf/game_actor.h:231;src/game/actor_behavior.c:155;src/game/actor_behavior.c:1084;src/game/actor_behavior.c:1127	signed distance used by special-attack selection and damage application
include/kf/game_actor.h:232	KfActorDefinition	unknown_38	u8[2]	unresolved		include/kf/game_actor.h:232	meaning unresolved
include/kf/game_actor.h:233	KfActorDefinition	action_animation_steps	u16[16]	numeric		include/kf/game_actor.h:233;src/game/actor_behavior.c:694;src/game/actor_behavior.c:829;src/game/actor_behavior.c:837;src/game/actor_behavior.c:872;src/game/actor_behavior.c:886;src/game/actor_behavior.c:922;src/game/actor_behavior.c:930;src/game/actor_behavior.c:950;src/game/actor_behavior.c:1007;src/game/actor_behavior.c:1016;src/game/actor_behavior.c:1019;src/game/actor_behavior.c:1123;src/game/actor_behavior.c:1126;src/game/actor_behavior.c:1190;src/game/actor_behavior.c:1233;src/game/actor_behavior.c:1242;src/game/actor_behavior.c:1250	animation step per action index; the boss death sequence keys effects on entry 4
include/kf/game_actor.h:234	KfActorDefinition	action_animation_phases	u16[16]	numeric		include/kf/game_actor.h:234;src/game/actor_behavior.c:695;src/game/actor_behavior.c:931;src/game/actor_behavior.c:951;src/game/actor_behavior.c:1017;src/game/actor_behavior.c:1074;src/game/actor_behavior.c:1124;src/game/actor_behavior.c:1251	animation phase threshold per action index
