# Reviewed semantic identities for the combined contiguous OPEN CD/resource-loading run and its direct consumers.
# All rows were checked with image-qualified disassembly/CFG, every direct caller and callee, adjacent boundaries,
# Ghidra candidates, source/history/match state, and FID/vendor controls. The CD/resource run and the audio run are
# separate WIP units; contiguity and shared resource flow do not by themselves establish original TU boundaries.
image	va	extent	family	current_match	body_and_cfg	call_and_data_evidence	signature_evidence	vendor_negative_control	final_name	final_signature	verdict
OPEN.EXE	0x80016298	0x80	tim-upload	100.000000000% exact	seven-block loop calls OpenTIM once, repeatedly fills one 0x14-byte TIM_IMAGE with ReadTIM, and conditionally uploads the CLUT then pixel image with a DrawSync after each LoadImage	five proven callers pass buffers loaded by cd_file_load_allocated or cd_file_load_into; all four service identities and TIM_IMAGE fields come from Psy-Q Release 2.5 LIBGPU.H	a0 remains live from entry into OpenTIM and every caller supplies a loaded buffer; no result escapes	absent from functions_vendored.tsv and FID inventories; OpenTIM, ReadTIM, LoadImage, and DrawSync are separately proved vendored provider calls	tim_upload_images	void tim_upload_images(u_long *tim_data)	supported SDK-boundary type, GAME homolog, reviewed relocations, and exact C reconstruction
OPEN.EXE	0x80016318	0x30	resource-stream	100.000000000% exact	two-block counted word-copy loop advances both pointers and returns the source pointer in the jr delay slot	sole caller invokes it five consecutive times with 0x9c4 words to populate five four-byte-aligned resource grids, chaining each returned source pointer into the next call	a0 is the stored-through destination, a1 is the loaded and returned source, and a2 is a 32-bit decrementing count; no instruction proves count signedness	absent from functions_vendored.tsv and FID inventories; its advanced-source return differs from memcpy and serves one game-owned resource loader	resource_stream_copy_words	const u32 * resource_stream_copy_words(u32 *destination, const u32 *source, s32 word_count)	supported name, pointer directions, word width, and exact reconstruction; signed count remains candidate
OPEN.EXE	0x80016348	0x1c8	opening-scene-zero-resources	100.000000000% exact	straight-line loader walks length-prefixed chunks, preserving the second chunk header for the arena rewind; it copies five 0x9c4-word grids, loads two placement streams, starts one sequence, registers two TMD archives, and restores allocation mode	sole proven caller invokes it at the start of the scene-zero path; B0\\MIXA0., B0\\OPEN0., and B0\\MIXB0. identify the resource set, while the five destinations match the exact GAME overlay map-resource order	no live-in parameters and no escaping return value; typed callees prove VAB buffers, floor-item placements, the sequence path, TMD buffers, and the arena cursor	absent from functions_vendored.tsv and FID inventories; game-owned resource paths, map grids, and placement consumers distinguish it from the called Psy-Q services	opening_resources_load_scene0	void opening_resources_load_scene0(void)	supported scene-zero resource identity, void signature, map-grid ownership, reviewed relocations, and exact C reconstruction; original TU boundary remains WIP
OPEN.EXE	0x80016510	0xb4	opening-scene-one-resources	100.000000000% exact	one straight-line block stops sequence and VAB state, resets allocation, walks the two MIXA1 VAB chunks, releases the stream, retains the post-VAB arena cursor, switches allocation mode, and starts OPEN1	sole proven caller is the scene-one transition; B0\\MIXA1. and B0\\OPEN1. are direct literals, while audio and allocator callees have independently reviewed identities	no live-in parameter is consumed and no result escapes; u8 stream pointers and the retained arena pointer follow directly from the typed CD, audio, and allocator interfaces	absent from functions_vendored.tsv and FID inventories; scene-specific resource paths and retained game allocator policy wrap separately classified services	opening_resources_load_scene1	void opening_resources_load_scene1(void)	supported scene-one resource identity, retained-arena datum, reviewed relocations, and exact C reconstruction
OPEN.EXE	0x800165c4	0xf0	opening-scene-three-resources	100.000000000% exact	one straight-line block restores the scene-one arena, starts OPEN3, uploads MIX3 TIM images, loads MIXA3 entity placements at -10000, registers MIXB3 as TMD slot one, and restores allocation mode	sole proven caller is the scene-three transition; direct paths and the exact call sequence connect the function to the preceding retained-arena producer and typed resource consumers	no live-in parameter is consumed and no result escapes; the signed -10000 placement height and byte-stream types are fixed by the callee and chunk operations	absent from functions_vendored.tsv and FID inventories; the scene transition is game policy around separately identified CD, audio, GPU, and memory services	opening_resources_load_scene3	void opening_resources_load_scene3(void)	supported scene-three identity, shared arena datum, reviewed relocations, and exact C reconstruction
OPEN.EXE	0x800166b4	0x134	opening-ending-resources	100.000000000% exact	one straight-line block uploads MIX9 TIM data, loads MIXAE VAB and staged entity chunks, starts the separately stored B0\\END. path, registers MIXBE TMD slot one, and saves the retained arena boundary	sole proven caller is the ending transition; direct paths, two independently reviewed arena-pointer xrefs, and typed resource callees establish the ordered resource roles	no live-in parameter is consumed and no result escapes; retained u8 pointers and signed placement height are fixed by allocator, stream, and placement APIs	absent from functions_vendored.tsv and FID inventories; ending asset orchestration is game-owned policy around separately identified services	opening_resources_load_ending	void opening_resources_load_ending(void)	supported ending-resource identity, separately owned sequence-path and arena data, reviewed relocations, and exact C reconstruction
OPEN.EXE	0x800167e8	0x58	opening-ending-entity-resources	100.000000000% exact	one straight-line block loads MIXAF, passes its payload to the opening entity placement loader at -10000, advances the length-prefixed stream, releases the allocation, and returns	sole proven caller is the later ending-state path; B0\\MIXAF. and the typed placement consumer establish this as the entity-only continuation of the preceding ending resource load	no live-in parameter is consumed and no result escapes; the stream is writable only for pointer advancement and the placement payload is read-only	absent from functions_vendored.tsv and FID inventories; scene-specific placement policy wraps separately identified CD and allocator services	opening_resources_load_ending_entities	void opening_resources_load_ending_entities(void)	supported ending-entity identity, signature, reviewed relocations, and exact C reconstruction
OPEN.EXE	0x80016840	0x9c	opening-ending-sequence-resources	100.000000000% exact	one straight-line block stops sequence and VAB state, resets allocation, restores the retained ending arena, loads two MIXAG VAB chunks, releases the stream, advances the arena past retained audio, and starts ENDG	sole proven caller is the same later ending-state path; B0\\MIXAG., B0\\ENDG., the saved-arena producer, and typed audio/memory consumers establish the transition	no live-in parameter is consumed and no result escapes; u8 stream, VAB, and arena pointers follow from the reviewed APIs and load/store widths	absent from functions_vendored.tsv and FID inventories; ending audio transition policy wraps separately identified Psy-Q-facing services	opening_resources_load_ending_sequence	void opening_resources_load_ending_sequence(void)	supported ending-sequence identity, signature, retained-arena referent, reviewed relocations, and exact C reconstruction
OPEN.EXE	0x800197e4	0x1b0	floor-item-placement-loader	100.000000000% exact	two passes count sentinel-terminated 12-byte records and expand them into 24-byte runtime floor items with tile-derived positions and randomized animation frames	sole scene-zero MIXA0 stream caller; count and 64-record item pool are fields of open_graphics_runtime; the three validated numeric references and proven rand call are unchanged	a0 is a read-only stream of KfFloorItemPlacement records; no result escapes	absent from functions_vendored.tsv and FID inventories; exact extent and full behavior correspond instruction-for-instruction after the first-pass setup to the reconstructed GAME item loader	item_load_floor_placements	void item_load_floor_placements(KfFloorItemPlacement *placements)	strict 100% and all 432 linked retail bytes exact after recovering the saved-start/mutable-cursor lifetimes, postincrement sentinel loop and direct count-member accesses; docs/patterns/open-item-cursor.md
OPEN.EXE	0x80019994	0x4c	opening-entity-pool-reset	100.000000000% exact	one 32-iteration loop writes 0xff to the first byte of each 40-byte entity record, then clears three unresolved halfword controls in descending address order	sole caller is the opening controller immediately after display and audio initialization; the exact 0x510-byte state owner agrees with the array stride, three control offsets, and controller memset range	no live-in argument is read and no result escapes; direct stores prove the three controls are u16 but not their meanings	absent from functions_vendored.tsv and FID inventories; the scene-owned entity pool and controller call distinguish it from SDK code	opening_entity_pool_reset	void opening_entity_pool_reset(void)	supported pool-reset identity, void signature, complete aggregate ownership, reviewed relocations, and exact C reconstruction
