# Reviewed semantic identities for the shared GAME/OPEN display and TMD family.
# Every row was checked with image-qualified kf sema addr/disasm --blocks/xref/strings/match,
# adjacent boundaries, callers/callees, Ghidra candidates, source/history, and FID/vendor controls.
# Cross-overlay instruction shape supports common source lineage but does not establish TU ownership.
image	va	extent	family	current_match	body_and_cfg	call_and_data_evidence	signature_evidence	vendor_negative_control	final_name	final_signature	verdict
GAME.EXE	0x8001b7b0	0x308	display-error	97.922680000% fuzzy	loads a stage-selected TIM, draws one semitransparent POLY_FT4, and blocks through press and release loops	seven proven game callers pass error-stage constants; references the error path, CD state, display state, and Psy-Q CD/GPU services	a0 is retained without byte extension, receives full-width addition of ASCII zero, and is stored only at the final path byte; no result escapes	absent from vendored/FID inventories; linked CD/GPU functions are individually identified Psy-Q callees	display_show_error_screen	void display_show_error_screen(KfSystemScreen stage)	supported behavior, call set, referents, and full-width stage contract; remaining differences are codegen residue
GAME.EXE	0x8001bab8	0x2c	lighting	100.000000000% exact	one linear wrapper scales an index by the 0x20-byte MATRIX size and tail-schedules the selected pointer into SetColorMatrix	eight proven callers; reads color_matrix_table and calls Psy-Q SetColorMatrix	a0 participates directly in a full-width left shift; no result escapes	absent from vendored/FID inventories; the wrapper implements game color-preset policy	lighting_set_active_color_matrix	void lighting_set_active_color_matrix(KfGameColorPreset preset)	supported identity, signature, and exact C reconstruction
GAME.EXE	0x8001bae4	0xb0	effect-texture-cache	100.000000000% exact	floor-five guard followed by three GetTPage and three GetClut calls with fixed coordinates	sole caller is map_load_floor; writes the three-entry effect5_texture_pages and effect5_texture_cluts tables	a0 is compared directly as a full O32 integer to five; no result escapes	absent from vendored/FID inventories; the linked texture helpers are Psy-Q but the cache policy is game-owned	effect5_texture_cache_prepare	void effect5_texture_cache_prepare(KfFloorId floor)	supported identity, signature, exact C reconstruction, and paired table ownership
GAME.EXE	0x8001bb94	0x14c	display-init	94.253010000% fuzzy	linear initializer resets the GPU/GTE, defines both draw/display environments, installs lighting/fog defaults, and initializes the renderer	sole caller is game_main_loop; writes the two DRAWENV and DISPENV arrays and render fog state; calls reviewed game wrappers and Psy-Q services	no live input is consumed and no result escapes	absent from vendored/FID inventories; linked GPU/GTE calls are individually identified Psy-Q callees	display_initialize	void display_initialize(void)	supported call order, referents, and signature; remaining differences are codegen residue
GAME.EXE	0x8001bce0	0x2d8	render-init	100.000000000% exact	multi-stage initializer allocates a render arena, constructs two primitive-buffer ranges, clears display selection, and installs texture/color/matrix defaults	writes primitive_buffers, primitive_buffer, display environments, TMD/render state, and calls the reviewed allocator plus Psy-Q GPU/GTE services	no live input is consumed and no result escapes	absent from vendored/FID inventories; linked Psy-Q calls are individually identified callees	render_initialize	void render_initialize(void)	supported behavior and complete primitive-buffer extents; GAME-only extra initialization remains part of this overlay body
GAME.EXE	0x8001bfb8	0x98	display-frame	100.000000000% exact	38-word body toggles the byte selector, indexes a 0x0c record, derives the ordering-table pointer, clears 0x4000 entries, resets cursor, and clears frame counters	reads display_buffer_index and primitive_buffers; writes primitive_buffer and ordering_table; calls ClearOTagR	no live input is consumed and no result escapes	absent from vendored/FID inventories; ClearOTagR is the linked Psy-Q callee	display_begin_frame	void display_begin_frame(void)	supported by complete CFG/data flow and 38-of-38 cross-overlay instruction shape
GAME.EXE	0x8001c050	0x98	display-frame	100.000000000% exact	38-word linear frame submission waits for DrawSync and VSync, indexes DRAWENV by 0x5c and DISPENV by 0x14, then submits ordering_table minus one word	calls DrawSync, VSync, PutDrawEnv, PutDispEnv, and DrawOTag; accesses the selected environment arrays and ordering table	all call arguments are synthesized from globals and constants; no result escapes	game wrapper is absent from vendored/FID inventories; all five service calls are SDK boundaries	display_present_frame	void display_present_frame(void)	supported by call order, environment strides, referents, and 38-of-38 cross-overlay instruction shape
GAME.EXE	0x8001c0e8	0x2c	tmd-access	100.000000000% exact	11-word leaf masks the selector to sixteen bits, indexes a four-byte pointer table, and stores the selected payload	reads tmd_slots and writes current_asset_data	a0 is truncated with an unsigned halfword operation before pointer indexing; no result escapes	absent from vendored/FID inventories; this is game registry policy	tmd_select	void tmd_select(KfTmdSlot slot)	supported slot width and table action; GAME table extent proves eight entries
GAME.EXE	0x8001c114	0x24	tmd-access	100.000000000% exact	nine-word leaf computes current payload plus 0x0c plus object_index times 0x1c	reads current_asset_data; consumers use returned fields at the standard TMD object offsets	a0 is treated as an unsigned object index and v0 returns the computed object pointer	absent from vendored/FID inventories; record layout is corroborated by Psy-Q TMD format evidence	tmd_get_object	KfTmdObject * tmd_get_object(u16 object_index)	supported 0x1c complete record stride and pointer return
GAME.EXE	0x8001c138	0x10	tmd-current-vertices	100.000000000% exact	four-word leaf stores its pointer argument and returns	writes current_tmd_vertices; consumers index eight-byte SVECTOR-shaped entries	a0 is stored unchanged as a pointer and no result escapes	absent from vendored/FID inventories	tmd_set_current_vertices	void tmd_set_current_vertices(SVECTOR *vertices)	supported pointer action and element width
GAME.EXE	0x8001c148	0x3c	tmd-current-vertices	100.000000000% exact	15-word wrapper obtains one object, loads vertex_offset at +0x00, rebases it against the current TMD object-table base, and stores the current vertex cursor	calls tmd_get_object and accesses current_asset_data plus current_tmd_vertices	a0 is forwarded as the u16 object index; no result escapes	absent from vendored/FID inventories	tmd_select_object_vertices	void tmd_select_object_vertices(u16 object_index)	supported object field and cross-overlay data flow
GAME.EXE	0x8001c184	0x12c	render-view	96.800000000% fuzzy	75-word CFG independently accepts nullable position and rotation inputs, copies 16 and 8 bytes, derives two signed division terms, and rebuilds two rotation matrices	reads/writes the persistent view vectors and render matrices and calls RotMatrix twice	callers pass a four-word position at a0 and a four-halfword rotation at a1 or null for either; no result escapes	absent from vendored/FID inventories; RotMatrix is the linked Psy-Q callee	render_set_view_transform	void render_set_view_transform(const VECTOR *position, const SVECTOR *rotation)	supported nullable typed inputs, branches, divisions, and 75-of-75 cross-overlay instruction shape
GAME.EXE	0x8001c2b0	0x300	tmd-prepare	94.135414000% fuzzy	192-word nested loops walk object_count, 0x1c-byte object records, and variable-length primitive packets through a mode jump table; selected u16 indices are shifted left three in place	reads current_asset_data header object_count and each KfTmdObject primitive_offset/count; advances packets by the primitive ilen byte	no live input is consumed; all state comes from the selected TMD; no result escapes	absent from vendored/FID inventories; packet/object formats are standard TMD data while the mutating preparation loop is game-owned	tmd_prepare_primitive_indices	void tmd_prepare_primitive_indices(void)	supported object fields, packet traversal, indirect-control-flow boundary, and 192-of-192 cross-overlay instruction shape
