# Reviewed semantic identities for GAME actor movement, effects, action dispatch, pool update, and boss death state.
# Every row was checked with kf sema addr/disasm --blocks/xref/xref --callees/strings/match, caller review,
# Ghidra, raw initialized bytes, and the pinned Psy-Q FID/vendor inventories.
image	va	extent	family	current_match	body_and_cfg	call_and_data_evidence	signature_evidence	vendor_negative_control	final_name	final_signature	verdict
GAME.EXE	0x8002e954	0x3ac	actor-movement	no reconstruction unit	59 CFG blocks; proposed-position, floor-height, collision, and axis-resolution paths	sole caller is actor_move_along_heading; reads bound actor/definition and calls vector3i_add_xz plus map/floor collision helpers	a0 is a const two-s16 x/z delta; a1 is tested as a boolean collision policy; v0 consistently returns zero or one	absent from vendored/FID inventories	actor_move_xz_with_collision	bool actor_move_xz_with_collision(const KfVecXZs *delta, bool stop_on_collision)	supported effect; collision return codes remain unnamed
GAME.EXE	0x8002ed00	0xd4	actor-movement	no reconstruction unit	6 CFG blocks; two turn-speed paths and a common movement tail	four action-dispatch calls; uses angle_approach, angle_to_forward_xz, vector scaling, and actor_move_xz_with_collision	a0 is used only for signed forward/reverse selection; a1 passes the boolean collision policy; callee v0 is preserved to every caller	absent from vendored/FID inventories	actor_move_along_heading	bool actor_move_along_heading(s32 direction, bool stop_on_collision)	supported
GAME.EXE	0x8002edd4	0x454	actor-effect	no reconstruction unit	51 CFG blocks; 20-entry effect-code switch and optional two-emission loop	sole direct caller is actor_update_effect_action; transforms definition attachment offsets and calls the common effect/projectile spawner	a0 bit 0x20 selects two emissions and low five bits select effect code; a1 indexes six-byte attachment vectors	absent from vendored/FID inventories	actor_spawn_action_effect	void actor_spawn_action_effect(u8 effect_code, s32 attachment_index)	supported; effect enum labels remain unknown
GAME.EXE	0x8002f228	0xf4	actor-movement	no reconstruction unit	7 CFG blocks; angle-tolerance branch and straight-line vector preparation	two calls from action 0x10 setup; reads player/current positions and writes movement_yaw plus x/z movement components	no live arguments or return value	absent from vendored/FID inventories	actor_prepare_charge_toward_player	void actor_prepare_charge_toward_player(void)	supported; charge is the observed action behavior, not an original enum label
GAME.EXE	0x8002f31c	0x14c	actor-movement	no reconstruction unit	16 CFG blocks; clear, stop, and half-reflection collision paths	sole external call is action 0x10 update; reads/writes current actor position and x/z movement then refreshes cell coordinates	no live arguments or return value	absent from vendored/FID inventories	actor_apply_horizontal_movement	void actor_apply_horizontal_movement(void)	supported
GAME.EXE	0x8002f468	0xf0	actor-action	no reconstruction unit	7 CFG blocks; initialization, animation trigger, and completion paths	three calls from action cases 0x13..0x15; calls animation helpers, actor_spawn_action_effect, distance, and next-action selection	a0 is an unmasked signed index with observed values 0..2; no result escapes	absent from vendored/FID inventories	actor_update_effect_action	void actor_update_effect_action(s32 action_variant)	supported
GAME.EXE	0x8002f558	0x374	actor-movement	no reconstruction unit	34 CFG blocks; three random signed walks followed by full and per-axis collision probes	sole external call is action 0x12; reads bound actor/definition and updates movement plus world/cell position	a0 is signed arithmetic step; a1 is loaded/compared as signed s16 positive and negative limit; no result escapes	absent from vendored/FID inventories	actor_apply_random_movement	void actor_apply_random_movement(s32 step, s16 limit)	supported
GAME.EXE	0x8002f8cc	0x1bc	actor-boss-death	no reconstruction unit	16 CFG blocks; phase completion plus periodic random debris/sound path	special death-action call requires floor five and definition seven; uses packed phase/loop SoundRefs, kills four definition groups, and sets boss_defeat_complete	no live arguments or return value; all state is bound actor context and shared progression state	absent from vendored/FID inventories	actor_update_boss_death_sequence	void actor_update_boss_death_sequence(void)	supported; boss identity is behavioral, specific character name remains unknown
GAME.EXE	0x8002fa88	0xd90	actor-action	no reconstruction unit	166 CFG blocks; 128-entry action switch plus five-entry vertical-state switch	sole caller is actor_pool_update; 69 direct call sites cover animation, movement, attacks, effects, spawn/death, and next-action selection	no live arguments or return value; current_actor and current_actor_definition supply the complete context	absent from vendored/FID inventories	actor_update_current_action	void actor_update_current_action(void)	supported dispatcher identity; action and vertical-state enum labels remain unknown
GAME.EXE	0x80030818	0xa8	actor-pool	no reconstruction unit	6 CFG blocks; one 128-record loop and bound-context cleanup	called once per game frame; binds every actor_pool record, updates awareness, dispatches lifecycle-one actions, then binds null	no live arguments or return value	absent from vendored/FID inventories	actor_pool_update	void actor_pool_update(void)	supported
